'Date, 'Time, 'Latitude, 'Longitude, 'SOG, 'COG, 'TWS, 'TWA, 'TWD, 'Comment, 
18/08/2026, 06:05:30 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 350° M, 02.4, 007° Stbd, 040° M, , 
18/08/2026, 06:06:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 359° M, 02.9, 046° Port, 039° M, , 
18/08/2026, 06:06:30 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 00.4, 013° Port, 029° M, , 
18/08/2026, 06:07:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 354° M, 00.5, 011° Port, 042° M, , 
18/08/2026, 06:07:31 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 352° M, 00.4, 016° Port, 045° M, , 
18/08/2026, 06:07:48 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 355° M, 01.7, 034° Stbd, 052° M, , 
18/08/2026, 06:08:18 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 355° M, 00.4, 031° Port, 045° M, , 
18/08/2026, 06:08:47 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 356° M, 01.7, 010° Stbd, 044° M, , 
18/08/2026, 06:09:18 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 352° M, 04.5, 053° Port, 033° M, , 
18/08/2026, 06:09:48 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 358° M, 02.3, 029° Stbd, 056° M, , 
18/08/2026, 06:10:19 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 351° M, 01.3, 012° Port, 033° M, , 
18/08/2026, 06:10:44 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 359° M, 02.0, 024° Port, 041° M, , 
18/08/2026, 06:11:14 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 350° M, 01.0, 047° Stbd, 044° M, , 
18/08/2026, 06:11:44 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 357° M, 02.7, 030° Port, 044° M, , 
18/08/2026, 06:12:13 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 354° M, 02.0, 049° Port, 044° M, , 
18/08/2026, 06:12:30 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 359° M, 01.6, 011° Port, 049° M, , 
18/08/2026, 06:12:58 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 354° M, 02.7, 033° Port, 034° M, , 
18/08/2026, 06:13:28 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 358° M, 01.9, 044° Stbd, 037° M, , 
18/08/2026, 06:13:59 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 358° M, 02.8, 044° Port, 057° M, , 
18/08/2026, 06:14:32 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 354° M, 03.6, 038° Stbd, 044° M, , 
18/08/2026, 06:15:00 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 02.8, 011° Stbd, 033° M, , 
18/08/2026, 06:15:25 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 355° M, 02.3, 027° Port, 033° M, , 
18/08/2026, 06:15:55 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 352° M, 02.7, 069° Stbd, 058° M, , 
18/08/2026, 06:16:25 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 358° M, 01.9, 070° Stbd, 046° M, , 
18/08/2026, 06:16:55 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 357° M, 01.6, 020° Port, 042° M, , 
18/08/2026, 06:17:24 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 353° M, 03.8, 048° Stbd, 056° M, , 
18/08/2026, 06:17:55 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 351° M, 04.5, 031° Stbd, 041° M, , 
18/08/2026, 06:18:24 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 352° M, 03.7, 047° Port, 045° M, , 
18/08/2026, 06:18:54 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 352° M, 02.5, 005° Port, 045° M, , 
18/08/2026, 06:19:24 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 354° M, 02.7, 038° Stbd, 042° M, , 
18/08/2026, 06:19:56 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 356° M, 03.7, 018° Port, 047° M, , 
18/08/2026, 06:20:26 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 355° M, 02.0, 049° Port, 040° M, , 
18/08/2026, 06:20:43 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 356° M, 03.9, 031° Stbd, 040° M, , 
18/08/2026, 06:21:15 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 353° M, 05.4, 040° Stbd, 044° M, , 
18/08/2026, 06:21:45 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 354° M, 04.2, 051° Port, 045° M, , 
18/08/2026, 06:22:15 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 358° M, 03.1, 021° Stbd, 055° M, , 
18/08/2026, 06:22:45 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 356° M, 02.1, 025° Port, 057° M, , 
18/08/2026, 06:23:16 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 357° M, 03.3, 035° Port, 044° M, , 
18/08/2026, 06:23:48 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 351° M, 04.2, 044° Stbd, 052° M, , 
18/08/2026, 06:24:16 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 355° M, 02.5, 020° Stbd, 040° M, , 
18/08/2026, 06:24:33 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 356° M, 06.0, 058° Port, 046° M, , 
18/08/2026, 06:25:04 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 359° M, 02.4, 030° Stbd, 037° M, , 
18/08/2026, 06:25:33 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 352° M, 05.1, 014° Stbd, 059° M, , 
18/08/2026, 06:26:03 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 354° M, 06.0, 044° Port, 039° M, , 
18/08/2026, 06:26:33 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 356° M, 03.7, 049° Port, 048° M, , 
18/08/2026, 06:27:03 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 356° M, 04.7, 051° Stbd, 051° M, , 
18/08/2026, 06:27:35 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 352° M, 04.2, 013° Port, 031° M, , 
18/08/2026, 06:28:05 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 354° M, 05.7, 004° Port, 046° M, , 
18/08/2026, 06:28:22 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 352° M, 02.9, 056° Stbd, 054° M, , 
18/08/2026, 06:28:55 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 355° M, 06.7, 028° Port, 045° M, , 
18/08/2026, 06:29:25 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 05.2, 027° Port, 027° M, , 
18/08/2026, 06:29:55 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 359° M, 04.6, 042° Stbd, 040° M, , 
18/08/2026, 06:30:25 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 353° M, 05.2, 062° Port, 065° M, , 
18/08/2026, 06:30:50 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 04.9, 038° Stbd, 043° M, , 
18/08/2026, 06:31:07 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 354° M, 05.7, 041° Port, 057° M, , 
18/08/2026, 06:31:37 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 354° M, 06.9, 032° Port, 046° M, , 
18/08/2026, 06:32:07 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 05.9, 023° Port, 041° M, , 
18/08/2026, 06:32:39 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 353° M, 07.1, 042° Port, 052° M, , 
18/08/2026, 06:33:04 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 358° M, 06.6, 063° Stbd, 061° M, , 
18/08/2026, 06:33:33 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 358° M, 05.7, 036° Port, 057° M, , 
18/08/2026, 06:34:01 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 05.0, 008° Port, 055° M, , 
18/08/2026, 06:34:18 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 352° M, 05.2, 068° Stbd, 048° M, , 
18/08/2026, 06:34:51 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 357° M, 06.0, 060° Port, 053° M, , 
18/08/2026, 06:35:16 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 352° M, 05.6, 037° Port, 032° M, , 
18/08/2026, 06:35:45 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 353° M, 03.3, 039° Stbd, 040° M, , 
18/08/2026, 06:36:15 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 356° M, 05.7, 018° Port, 046° M, , 
18/08/2026, 06:36:48 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 352° M, 05.2, 056° Port, 053° M, , 
18/08/2026, 06:37:20 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 351° M, 05.6, 046° Port, 049° M, , 
18/08/2026, 06:37:45 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 359° M, 05.6, 057° Stbd, 057° M, , 
18/08/2026, 06:38:17 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 357° M, 05.0, 021° Stbd, 063° M, , 
18/08/2026, 06:38:47 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 352° M, 04.7, 051° Stbd, 053° M, , 
18/08/2026, 06:39:17 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 354° M, 05.7, 011° Stbd, 057° M, , 
18/08/2026, 06:39:46 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 354° M, 05.8, 015° Stbd, 067° M, , 
18/08/2026, 06:40:16 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 353° M, 04.1, 036° Port, 072° M, , 
18/08/2026, 06:40:48 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 352° M, 03.9, 054° Port, 054° M, , 
18/08/2026, 06:41:18 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 05.0, 033° Stbd, 058° M, , 
18/08/2026, 06:41:50 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 353° M, 04.2, 057° Port, 051° M, , 
18/08/2026, 06:42:19 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 358° M, 05.6, 045° Stbd, 056° M, , 
18/08/2026, 06:42:44 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 355° M, 04.8, 014° Port, 040° M, , 
18/08/2026, 06:43:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 356° M, 05.0, 028° Stbd, 043° M, , 
18/08/2026, 06:43:31 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 356° M, 05.1, 026° Stbd, 058° M, , 
18/08/2026, 06:44:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 05.2, 071° Stbd, 052° M, , 
18/08/2026, 06:44:32 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 357° M, 05.7, 000° Stbd, 051° M, , 
18/08/2026, 06:45:04 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 05.4, 040° Stbd, 055° M, , 
18/08/2026, 06:45:21 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 359° M, 06.2, 038° Port, 056° M, , 
18/08/2026, 06:45:51 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 354° M, 06.1, 007° Port, 069° M, , 
18/08/2026, 06:46:19 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 354° M, 03.5, 042° Port, 068° M, , 
18/08/2026, 06:46:49 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 350° M, 05.2, 039° Port, 061° M, , 
18/08/2026, 06:47:19 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 354° M, 04.4, 062° Port, 059° M, , 
18/08/2026, 06:47:49 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 356° M, 04.0, 027° Stbd, 050° M, , 
18/08/2026, 06:48:21 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 356° M, 04.0, 030° Stbd, 055° M, , 
18/08/2026, 06:48:38 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 350° M, 02.8, 050° Stbd, 044° M, , 
18/08/2026, 06:49:08 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 352° M, 01.5, 052° Port, 056° M, , 
18/08/2026, 06:49:38 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 357° M, 06.0, 014° Stbd, 057° M, , 
18/08/2026, 06:50:08 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 354° M, 03.3, 037° Stbd, 064° M, , 
18/08/2026, 06:50:36 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 03.5, 056° Port, 053° M, , 
18/08/2026, 06:51:04 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 357° M, 03.1, 045° Port, 063° M, , 
18/08/2026, 06:51:33 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 359° M, 04.4, 010° Port, 065° M, , 
18/08/2026, 06:52:05 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 357° M, 01.4, 046° Port, 057° M, , 
18/08/2026, 06:52:35 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 351° M, 02.1, 001° Port, 054° M, , 
18/08/2026, 06:52:52 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 351° M, 04.3, 030° Stbd, 060° M, , 
18/08/2026, 06:53:09 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 358° M, 02.0, 020° Stbd, 060° M, , 
18/08/2026, 06:53:39 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 351° M, 03.1, 013° Port, 069° M, , 
18/08/2026, 06:54:04 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 354° M, 04.0, 034° Stbd, 047° M, , 
18/08/2026, 06:54:32 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 352° M, 01.3, 015° Stbd, 063° M, , 
18/08/2026, 06:55:02 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 355° M, 02.4, 017° Stbd, 052° M, , 
18/08/2026, 06:55:32 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 358° M, 04.7, 055° Port, 053° M, , 
18/08/2026, 06:56:04 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 352° M, 00.4, 024° Port, 063° M, , 
18/08/2026, 06:56:33 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 358° M, 02.4, 001° Port, 047° M, , 
18/08/2026, 06:57:01 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 03.8, 015° Stbd, 052° M, , 
18/08/2026, 06:57:31 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 03.6, 048° Port, 065° M, , 
18/08/2026, 06:58:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 359° M, 01.8, 034° Stbd, 056° M, , 
18/08/2026, 06:58:26 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 357° M, 00.4, 035° Stbd, 057° M, , 
18/08/2026, 06:58:58 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 355° M, 03.4, 031° Stbd, 053° M, , 
18/08/2026, 06:59:28 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 01.5, 005° Port, 052° M, , 
18/08/2026, 06:59:58 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 353° M, 03.6, 022° Port, 067° M, , 
18/08/2026, 07:00:31 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 359° M, 02.2, 034° Stbd, 059° M, , 
18/08/2026, 07:00:56 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 359° M, 02.8, 037° Stbd, 060° M, , 
18/08/2026, 07:01:13 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 350° M, 00.8, 070° Stbd, 060° M, , 
18/08/2026, 07:01:41 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 352° M, 02.9, 040° Stbd, 068° M, , 
18/08/2026, 07:02:06 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 355° M, 02.0, 015° Stbd, 053° M, , 
18/08/2026, 07:02:38 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 350° M, 00.4, 035° Stbd, 065° M, , 
18/08/2026, 07:03:08 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 358° M, 01.9, 028° Stbd, 067° M, , 
18/08/2026, 07:03:41 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 352° M, 03.1, 004° Port, 074° M, , 
18/08/2026, 07:04:11 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 03.6, 036° Port, 051° M, , 
18/08/2026, 07:04:42 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 356° M, 02.4, 035° Stbd, 050° M, , 
18/08/2026, 07:05:12 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 00.4, 015° Port, 065° M, , 
18/08/2026, 07:05:44 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 352° M, 01.5, 048° Port, 060° M, , 
18/08/2026, 07:06:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 354° M, 00.4, 040° Port, 070° M, , 
18/08/2026, 07:06:31 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 351° M, 01.4, 036° Port, 072° M, , 
18/08/2026, 07:07:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 356° M, 02.5, 041° Port, 053° M, , 
18/08/2026, 07:07:33 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 353° M, 02.4, 031° Stbd, 068° M, , 
18/08/2026, 07:07:58 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 359° M, 01.6, 020° Port, 073° M, , 
18/08/2026, 07:08:26 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 353° M, 00.6, 036° Stbd, 058° M, , 
18/08/2026, 07:08:59 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 355° M, 00.4, 058° Port, 068° M, , 
18/08/2026, 07:09:29 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 00.4, 043° Port, 076° M, , 
18/08/2026, 07:09:59 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 352° M, 01.2, 032° Stbd, 056° M, , 
18/08/2026, 07:10:29 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 350° M, 00.4, 021° Stbd, 068° M, , 
18/08/2026, 07:10:59 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 354° M, 02.6, 018° Stbd, 063° M, , 
18/08/2026, 07:11:29 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 359° M, 00.4, 033° Stbd, 066° M, , 
18/08/2026, 07:11:59 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 01.4, 003° Stbd, 061° M, , 
18/08/2026, 07:12:29 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 358° M, 00.4, 041° Stbd, 082° M, , 
18/08/2026, 07:13:02 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 359° M, 02.0, 045° Stbd, 062° M, , 
18/08/2026, 07:13:32 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 350° M, 00.4, 031° Stbd, 062° M, , 
18/08/2026, 07:14:00 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 357° M, 01.0, 029° Port, 067° M, , 
18/08/2026, 07:14:31 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 351° M, 00.4, 033° Stbd, 077° M, , 
18/08/2026, 07:15:00 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 01.1, 020° Port, 055° M, , 
18/08/2026, 07:15:32 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 358° M, 00.4, 065° Stbd, 068° M, , 
18/08/2026, 07:16:02 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 350° M, 00.4, 042° Port, 073° M, , 
18/08/2026, 07:16:32 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 358° M, 02.4, 033° Stbd, 070° M, , 
18/08/2026, 07:17:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 357° M, 00.4, 051° Stbd, 067° M, , 
18/08/2026, 07:17:31 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 359° M, 01.4, 015° Port, 067° M, , 
18/08/2026, 07:18:04 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 355° M, 01.0, 064° Stbd, 077° M, , 
18/08/2026, 07:18:33 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 356° M, 01.7, 033° Stbd, 074° M, , 
18/08/2026, 07:19:03 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 359° M, 02.2, 042° Port, 058° M, , 
18/08/2026, 07:19:31 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 00.4, 017° Stbd, 058° M, , 
18/08/2026, 07:20:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 354° M, 04.0, 038° Stbd, 060° M, , 
18/08/2026, 07:20:31 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 358° M, 00.6, 034° Port, 066° M, , 
18/08/2026, 07:21:04 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 353° M, 02.4, 081° Stbd, 064° M, , 
18/08/2026, 07:21:29 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 357° M, 00.4, 019° Stbd, 061° M, , 
18/08/2026, 07:21:59 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 00.4, 037° Port, 075° M, , 
18/08/2026, 07:22:29 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 351° M, 01.1, 008° Stbd, 071° M, , 
18/08/2026, 07:22:59 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 356° M, 01.4, 031° Port, 067° M, , 
18/08/2026, 07:23:32 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 358° M, 02.0, 031° Port, 062° M, , 
18/08/2026, 07:24:00 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 356° M, 00.8, 043° Port, 079° M, , 
18/08/2026, 07:24:30 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 351° M, 01.5, 035° Port, 069° M, , 
18/08/2026, 07:25:00 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 353° M, 02.0, 018° Port, 062° M, , 
18/08/2026, 07:25:31 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 355° M, 00.4, 032° Port, 064° M, , 
18/08/2026, 07:26:00 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 355° M, 03.0, 039° Port, 066° M, , 
18/08/2026, 07:26:30 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 356° M, 02.0, 024° Port, 084° M, , 
18/08/2026, 07:26:58 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 354° M, 02.9, 000° Port, 072° M, , 
18/08/2026, 07:27:27 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 357° M, 01.2, 058° Port, 073° M, , 
18/08/2026, 07:28:00 UTC, 38° 19.080' N, 026° 41.698' E, 00.0, 359° M, 01.8, 023° Stbd, 070° M, , 
18/08/2026, 07:28:30 UTC, 38° 19.080' N, 026° 41.698' E, - - - - -, - - - - -, 01.9, 014° Port, 057° M, , 
18/08/2026, 07:29:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 354° M, 01.9, 038° Port, 074° M, , 
18/08/2026, 07:29:29 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 357° M, 02.7, 040° Stbd, 056° M, , 
18/08/2026, 07:29:59 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 359° M, 04.7, 039° Port, 062° M, , 
18/08/2026, 07:30:29 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 356° M, 01.0, 034° Stbd, 068° M, , 
18/08/2026, 07:30:57 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 351° M, 02.8, 043° Stbd, 074° M, , 
18/08/2026, 07:31:29 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 350° M, 01.6, 052° Stbd, 079° M, , 
18/08/2026, 07:32:01 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 356° M, 01.6, 039° Stbd, 081° M, , 
18/08/2026, 07:32:31 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 351° M, 03.5, 049° Stbd, 071° M, , 
18/08/2026, 07:33:04 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 352° M, 03.6, 008° Port, 077° M, , 
18/08/2026, 07:33:29 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 355° M, 00.6, 036° Stbd, 068° M, , 
18/08/2026, 07:33:57 UTC, 38° 19.080' N, 026° 41.698' E, 00.2, 350° M, 02.7, 024° Port, 071° M, , 
18/08/2026, 07:34:27 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 352° M, 03.6, 022° Port, 073° M, , 
18/08/2026, 07:34:57 UTC, 38° 19.080' N, 026° 41.698' E, 00.3, 355° M, 03.1, 048° Stbd, 078° M, , 
18/08/2026, 07:35:25 UTC, 38° 19.080' N, 026° 41.698' E, 00.1, 354° M, 01.9, 039° Stbd, 067° M, , 
